member,badge_address,badge_address_2,region,participates,present_day1,present_day2,present_day3
0Q65JY7CKC,71:51:2F:1C:C4:32,,Team A,1,1,1,1
RRKFHHGQZC,46:BF:61:EA:64:2D,,Team A,1,1,1,1
WIV41BUHLW,C6:4E:8B:E6:37:88,,Team A,0,0,0,0
C1DTBU5MYM,85:35:53:07:02:AE,,Team A,1,1,1,1
OSJZN1GKC0,EB:07:0D:D5:75:46,,Team A,1,0,1,1
UV03YTJUSC,81:B6:34:DC:FD:B1,,Team A,1,1,1,1
CVKU86MWN4,6E:44:B3:72:5E:D3,,Team B,1,1,1,0
W39NEWFW88,41:C0:07:45:E3:11,,Team B,0,0,0,0
DDWSMKQ8F8,94:BF:E3:93:9B:C5,,Team B,0,0,0,0
4Y1GU1HUAO,36:F5:7F:AB:3A:BE,,Team B,0,0,0,0
FP0RX52G0Z,BE:1F:E6:B3:AB:AD,,Team B,0,0,0,0
OIBM7QES15,76:CB:DF:4C:F7:33,,Team B,1,1,1,1
0AXDUTLNY2,AD:EF:09:5F:FE:A4,,Team B,1,1,1,1
AWW65X9MS5,38:75:8E:7E:98:6D,,Team B,1,1,1,1
WONII17XLQ,CF:A2:AA:96:6D:82,,Team C,1,1,1,0
BGNHIARXQT,AC:AC:10:D1:AB:37,,Team C,1,1,1,1
U55RWYPOFQ,47:74:31:E4:18:11,,Team C,1,1,1,1
QHPL6QVXBC,AD:E6:55:3F:78:2B,B2:CA:08:29:E7:5F,Team C,1,1,1,1
Q4537ONO0N,8E:1D:F1:24:F0:8C,,Team C,1,1,1,1
XO2AMZ094N,77:B2:50:C9:A5:F9,,Team C,1,1,1,1
PBNLJFHNZO,69:9B:64:A7:D2:6D,,Team C,1,1,1,1
MRJFIXIVYB,86:F9:E7:F1:C4:94,,Team C,1,1,1,1
3Z69G4IJUN,19:8D:1C:88:BF:DA,,Team D,1,1,1,1
WRTUSQ1LLB,D3:AC:72:60:91:C9,,Team D,1,1,1,1
0WXKRSFZHG,15:84:A6:8C:5A:E8,9F:BE:B3:38:9F:CB,Team D,1,1,1,0
GK6HONCT1M,DF:52:83:74:C4:B8,,Team D,1,1,1,1
1MC6SEAJCF,8C:21:F5:6C:F4:32,,Team D,1,1,1,1
ZEXI2HYBZY,EC:21:31:84:84:DD,F5:2B:35:73:E5:95,Team D,1,1,1,1
ZCS4CXN133,CA:B9:0D:94:0D:1A,,Team D,1,1,1,1
6I2RB14LGA,30:8B:FB:6E:08:93,,Team D,1,1,1,0
0VYL4A8NMN,08:2E:5B:7F:C4:19,,Team D,1,1,1,1
A8RF5XOSCJ,AD:93:7D:29:98:9B,,Team D,1,1,1,1
LQ6X27O0T3,2B:24:AA:83:EE:04,,Team E,1,1,1,1
2INIHHVJ6Y,E5:A1:DA:5F:B9:98,,Team E,1,1,1,1
CQOTR6KYUW,68:FE:06:19:43:51,,Team E,1,1,1,1
GIN0G98PGJ,E1:BF:4F:15:49:7E,,Team E,0,0,0,0
NY7T8SNNB8,81:EE:29:47:DA:8D,,Team E,1,1,1,1
S050MW1NJR,5A:B8:69:B8:1B:6C,,Team F,1,1,1,1
7NKDENC4PM,F8:B5:C1:7E:DF:BB,,Team F,1,1,1,1
SB6XJB6POD,44:7F:F0:A3:2B:7F,,Team F,1,1,1,1
XF83TN5I46,11:99:8D:31:FA:ED,,Team F,1,1,1,1
IR9VFY77S4,D0:E2:E3:1B:EA:8A,,Team F,1,1,1,1
OKY0IXKXOE,FA:68:EE:1E:34:6A,,Team F,1,1,1,1
9QEMM7U57O,26:FA:5B:95:EC:3B,,Team F,1,1,1,1
ZB18ZQZ0NE,0B:F7:A5:15:30:DE,C8:DD:CE:86:34:49,Team F,1,1,1,1
30AELOZJOS,E4:2C:6E:C9:6D:B1,,Team F,1,1,1,1
WVJZDQ3P6A,5B:31:BC:A3:02:69,,Team F,0,0,0,0
IZJT44XXUQ,B8:63:1C:C6:D0:15,,Team F,0,0,0,0
FHW78LH8SW,EF:23:5D:E1:14:1C,D6:9A:6F:6B:B0:7E,Team G,1,1,1,1
J4AG6FL8HV,CD:7D:58:86:3B:0D,,Team G,1,1,1,1
7934GXWWZ0,B2:AF:CA:B5:0E:59,DF:51:FE:02:61:3F,Team G,1,1,1,1
G29U9W3YY1,00:98:88:0C:AC:3E,EF:95:1E:62:FD:CB,Team G,1,1,1,1
0XUW9A92DE,FE:20:8B:CC:79:1D,88:26:D9:32:45:08,Team G,1,1,1,1
60EX3LZMQO,F2:23:2E:B5:48:A0,,Team B,0,0,0,0
NCEG2K9DOX,54:E2:E3:34:98:A4,,Team B,1,0,1,1
S1CSH8WEPT,F3:D9:55:3C:6C:67,,Team G,1,1,1,1
