-----------------------------
1521234698.566,starting test
1521234698.566,E5:3B:3A:53:DF:6C,-53
1521234698.801,1D:35:DA:3F:51:F6,-62
1521234698.809,EC:8F:47:27:6C:DE,-58
1521234698.839,EC:8F:47:27:6C:DE,-58
1521234698.843,E9:0D:4A:6D:31:59,-56
1521234698.847,F1:4E:55:EA:ED:A4,-56
1521234698.851,F1:4E:55:EA:ED:A4,-56
1521234698.852,FD:99:D9:69:5D:BC,-57
1521234698.856,FD:99:D9:69:5D:BC,-57
1521234698.858,D9:86:6F:AF:E8:90,-59
1521234698.861,D9:86:6F:AF:E8:90,-58
1521234698.870,98:9E:63:42:70:FD,-102
1521234698.875,EC:8F:47:27:6C:DE,-58
1521234698.881,EC:8F:47:27:6C:DE,-58
1521234698.883,C8:2F:80:DA:26:94,-57
1521234698.888,C8:2F:80:DA:26:94,-57
1521234698.902,1D:35:DA:3F:51:F6,-61
1521234698.905,7E:2E:AA:0F:02:3A,-90
1521234698.920,7E:2E:AA:0F:02:3A,-90
1521234699.138,DC:94:C8:A9:D0:B6,-58
1521234699.157,DC:94:C8:A9:D0:B6,-58
1521234699.159,C2:57:36:E6:71:6E,-57
1521234699.161,C2:57:36:E6:71:6E,-58
1521234699.173,E5:3B:3A:53:DF:6C,-53
1521234699.177,7F:4B:65:4E:9A:05,-98
1521234699.183,7F:4B:65:4E:9A:05,-98
1521234699.185,7E:2E:AA:0F:02:3A,-91
1521234699.189,7E:2E:AA:0F:02:3A,-91
1521234699.211,1D:35:DA:3F:51:F6,-70
1521234699.737,7E:2E:AA:0F:02:3A,-88
1521234699.738,75:33:23:D6:E1:5E,-101
1521234699.752,DC:94:C8:A9:D0:B6,-54
1521234699.791,DC:94:C8:A9:D0:B6,-53
1521234699.793,98:9E:63:42:70:FD,-100
1521234699.795,98:9E:63:42:70:FD,-102
1521234699.797,E5:3B:3A:53:DF:6C,-53
1521234699.819,C2:57:36:E6:71:6E,-57
1521234699.821,C2:57:36:E6:71:6E,-57
1521234700.054,1D:35:DA:3F:51:F6,-59
1521234700.067,C1:96:24:5B:EB:97,-55
1521234700.069,C1:96:24:5B:EB:97,-55
1521234700.070,E9:0D:4A:6D:31:59,-56
1521234700.073,E9:0D:4A:6D:31:59,-56
1521234700.077,FD:99:D9:69:5D:BC,-57
1521234700.085,FD:99:D9:69:5D:BC,-57
1521234700.085,D9:86:6F:AF:E8:90,-59
1521234700.088,D9:86:6F:AF:E8:90,-59
1521234700.090,F1:4E:55:EA:ED:A4,-56
1521234700.105,F1:4E:55:EA:ED:A4,-56
1521234700.109,C8:2F:80:DA:26:94,-57
1521234700.112,C8:2F:80:DA:26:94,-57
1521234700.115,3C:15:C2:C7:F7:27,-103
1521234700.119,EC:8F:47:27:6C:DE,-58
1521234700.121,EC:8F:47:27:6C:DE,-58
1521234700.340,EC:8F:47:27:6C:DE,-55
1521234700.340,EC:8F:47:27:6C:DE,-55
1521234700.341,98:9E:63:42:70:FD,-103
1521234700.354,F8:77:B8:B9:2D:74,-96
1521234700.365,1D:35:DA:3F:51:F6,-68
1521234700.375,E8:FA:0D:3C:01:82,-53
1521234700.425,E8:FA:0D:3C:01:82,-53
1521234700.643,C2:57:36:E6:71:6E,-57
1521234700.656,C2:57:36:E6:71:6E,-57
1521234700.657,3C:15:C2:C7:F7:27,-99
1521234700.659,4F:90:35:1D:E2:40,-100
1521234700.674,1D:35:DA:3F:51:F6,-63
1521234700.680,C1:96:24:5B:EB:97,-52
1521234700.690,C1:96:24:5B:EB:97,-51
1521234700.692,E9:0D:4A:6D:31:59,-53
1521234700.698,E9:0D:4A:6D:31:59,-53
1521234700.699,FD:99:D9:69:5D:BC,-58
1521234700.701,FD:99:D9:69:5D:BC,-58
1521234700.704,F1:4E:55:EA:ED:A4,-55
1521234700.709,98:9E:63:42:70:FD,-100
1521234700.717,61:B8:47:F5:59:8C,-102
1521234700.936,4F:90:35:1D:E2:40,-102
1521234700.936,EC:8F:47:27:6C:DE,-58
1521234700.956,D9:86:6F:AF:E8:90,-59
1521234700.984,D9:86:6F:AF:E8:90,-58
1521234700.986,1D:35:DA:3F:51:F6,-58
1521234700.988,E8:FA:0D:3C:01:82,-56
1521234700.991,E8:FA:0D:3C:01:82,-56
1521234700.994,DC:94:C8:A9:D0:B6,-59
1521234700.994,DC:94:C8:A9:D0:B6,-59
1521234701.015,E5:3B:3A:53:DF:6C,-55
1521234701.019,E5:3B:3A:53:DF:6C,-54
1521234701.022,CB:3C:59:5F:87:FB,-55
1521234701.023,CB:3C:59:5F:87:FB,-55
1521234701.261,C2:57:36:E6:71:6E,-57
1521234701.286,C2:57:36:E6:71:6E,-57
1521234701.288,F8:77:B8:B9:2D:74,-97
1521234701.291,C1:96:24:5B:EB:97,-55
1521234701.294,C1:96:24:5B:EB:97,-55
1521234701.298,1D:35:DA:3F:51:F6,-68
1521234701.299,E9:0D:4A:6D:31:59,-54
1521234701.306,E9:0D:4A:6D:31:59,-54
1521234701.309,FD:99:D9:69:5D:BC,-56
1521234701.310,FD:99:D9:69:5D:BC,-56
1521234701.313,F1:4E:55:EA:ED:A4,-55
1521234701.315,F1:4E:55:EA:ED:A4,-55
1521234701.555,EC:8F:47:27:6C:DE,-58
1521234701.561,EC:8F:47:27:6C:DE,-58
1521234701.565,75:33:23:D6:E1:5E,-101
1521234701.568,C8:2F:80:DA:26:94,-53
1521234701.570,C8:2F:80:DA:26:94,-53
1521234701.571,3C:15:C2:C7:F7:27,-101
1521234701.574,D9:86:6F:AF:E8:90,-55
1521234701.599,D9:86:6F:AF:E8:90,-55
1521234701.600,E8:FA:0D:3C:01:82,-57
1521234701.604,E8:FA:0D:3C:01:82,-57
1521234701.606,DC:94:C8:A9:D0:B6,-54
1521234701.610,DC:94:C8:A9:D0:B6,-53
1521234701.611,1D:35:DA:3F:51:F6,-63
1521234701.616,98:9E:63:42:70:FD,-101
1521234701.834,E5:3B:3A:53:DF:6C,-55
1521234701.842,DC:94:C8:A9:D0:B6,-58
1521234701.867,DC:94:C8:A9:D0:B6,-58
1521234701.868,C2:57:36:E6:71:6E,-61
1521234701.869,C2:57:36:E6:71:6E,-61
1521234701.906,C1:96:24:5B:EB:97,-55
1521234701.918,C1:96:24:5B:EB:97,-55
1521234701.920,E9:0D:4A:6D:31:59,-56
1521234701.928,E9:0D:4A:6D:31:59,-56
1521234702.141,FD:99:D9:69:5D:BC,-55
1521234702.142,FD:99:D9:69:5D:BC,-55
1521234702.142,1D:35:DA:3F:51:F6,-67
1521234702.155,EC:8F:47:27:6C:DE,-55
1521234702.169,EC:8F:47:27:6C:DE,-55
1521234702.173,7F:4B:65:4E:9A:05,-103
1521234702.174,C8:2F:80:DA:26:94,-54
1521234702.182,C8:2F:80:DA:26:94,-54
1521234702.183,F1:4E:55:EA:ED:A4,-55
1521234702.186,F1:4E:55:EA:ED:A4,-55
1521234702.189,D9:86:6F:AF:E8:90,-56
1521234702.214,D9:86:6F:AF:E8:90,-56
1521234702.216,E8:FA:0D:3C:01:82,-54
1521234702.220,E8:FA:0D:3C:01:82,-54
1521234702.221,F8:77:B8:B9:2D:74,-98
1521234702.440,7F:4B:65:4E:9A:05,-101
1521234702.442,E5:3B:3A:53:DF:6C,-53
1521234702.455,E5:3B:3A:53:DF:6C,-53
1521234702.455,1D:35:DA:3F:51:F6,-63
1521234702.456,CB:3C:59:5F:87:FB,-51
1521234702.463,CB:3C:59:5F:87:FB,-51
1521234702.465,DC:94:C8:A9:D0:B6,-53
1521234702.467,DC:94:C8:A9:D0:B6,-53
1521234702.477,C2:57:36:E6:71:6E,-57
1521234702.481,C2:57:36:E6:71:6E,-57
1521234702.483,3C:15:C2:C7:F7:27,-101
1521234702.738,C1:96:24:5B:EB:97,-55
1521234702.742,C1:96:24:5B:EB:97,-55
1521234702.744,FD:99:D9:69:5D:BC,-57
1521234702.747,FD:99:D9:69:5D:BC,-57
1521234702.766,EC:8F:47:27:6C:DE,-58
1521234702.796,EC:8F:47:27:6C:DE,-58
1521234702.798,C8:2F:80:DA:26:94,-57
1521234702.800,C8:2F:80:DA:26:94,-57
1521234702.804,F1:4E:55:EA:ED:A4,-56
1521234702.804,F1:4E:55:EA:ED:A4,-56
1521234702.806,D9:86:6F:AF:E8:90,-58
1521234702.807,D9:86:6F:AF:E8:90,-58
1521234703.351,C1:96:24:5B:EB:97,-52
1521234703.357,FD:99:D9:69:5D:BC,-58
1521234703.377,FD:99:D9:69:5D:BC,-58
1521234703.379,4F:90:35:1D:E2:40,-103
1521234703.383,75:33:23:D6:E1:5E,-102
1521234703.395,EC:8F:47:27:6C:DE,-58
1521234703.400,EC:8F:47:27:6C:DE,-58
1521234703.404,1D:35:DA:3F:51:F6,-64
1521234703.406,F1:4E:55:EA:ED:A4,-55
1521234703.410,F1:4E:55:EA:ED:A4,-55
1521234703.413,D9:86:6F:AF:E8:90,-55
1521234703.416,D9:86:6F:AF:E8:90,-55
1521234703.655,E8:FA:0D:3C:01:82,-57
1521234703.656,E8:FA:0D:3C:01:82,-57
1521234703.656,C8:2F:80:DA:26:94,-56
1521234703.657,C8:2F:80:DA:26:94,-57
1521234703.685,DC:94:C8:A9:D0:B6,-58
1521234703.701,DC:94:C8:A9:D0:B6,-58
1521234703.703,C2:57:36:E6:71:6E,-61
1521234703.705,C2:57:36:E6:71:6E,-61
1521234703.712,1D:35:DA:3F:51:F6,-57
1521234703.714,CB:3C:59:5F:87:FB,-55
1521234703.730,CB:3C:59:5F:87:FB,-55
1521234703.963,C1:96:24:5B:EB:97,-54
1521234703.969,C1:96:24:5B:EB:97,-54
1521234703.970,FD:99:D9:69:5D:BC,-55
1521234704.031,FD:99:D9:69:5D:BC,-55
1521234704.034,F1:4E:55:EA:ED:A4,-55
1521234704.036,F1:4E:55:EA:ED:A4,-55
1521234704.233,1D:35:DA:3F:51:F6,-63
1521234704.247,68:64:4B:39:4B:0F,-103
1521234704.251,E8:FA:0D:3C:01:82,-57
1521234704.271,E8:FA:0D:3C:01:82,-57
1521234704.276,C8:2F:80:DA:26:94,-54
1521234704.279,C8:2F:80:DA:26:94,-53
1521234704.295,DC:94:C8:A9:D0:B6,-53
1521234704.330,DC:94:C8:A9:D0:B6,-53
1521234704.333,C2:57:36:E6:71:6E,-57
1521234704.335,C2:57:36:E6:71:6E,-57
1521234704.554,CB:3C:59:5F:87:FB,-55
1521234704.555,61:B8:47:F5:59:8C,-103
1521234704.561,E5:3B:3A:53:DF:6C,-55
1521234704.573,E5:3B:3A:53:DF:6C,-55
1521234704.576,E9:0D:4A:6D:31:59,-57
1521234704.579,E9:0D:4A:6D:31:59,-57
1521234704.583,FD:99:D9:69:5D:BC,-58
1521234704.629,FD:99:D9:69:5D:BC,-58
1521234704.633,F1:4E:55:EA:ED:A4,-56
1521234704.831,F8:77:B8:B9:2D:74,-98
1521234704.838,D9:86:6F:AF:E8:90,-57
1521234704.842,E9:0D:4A:6D:31:59,-54
1521234704.844,EC:8F:47:27:6C:DE,-55
1521234704.852,EC:8F:47:27:6C:DE,-55
1521234704.854,FD:99:D9:69:5D:BC,-55
1521234704.855,FD:99:D9:69:5D:BC,-55
1521234704.857,1D:35:DA:3F:51:F6,-68
1521234704.862,E8:FA:0D:3C:01:82,-53
1521234704.876,E8:FA:0D:3C:01:82,-53
1521234704.879,EC:8F:47:27:6C:DE,-55
1521234704.880,EC:8F:47:27:6C:DE,-55
1521234704.887,C8:2F:80:DA:26:94,-54
1521234704.905,C8:2F:80:DA:26:94,-54
1521234704.906,DC:94:C8:A9:D0:B6,-57
1521234704.908,DC:94:C8:A9:D0:B6,-57
1521234705.144,C2:57:36:E6:71:6E,-57
1521234705.156,C2:57:36:E6:71:6E,-57
1521234705.157,7F:4B:65:4E:9A:05,-103
1521234705.160,CB:3C:59:5F:87:FB,-51
1521234705.162,CB:3C:59:5F:87:FB,-51
1521234705.171,1D:35:DA:3F:51:F6,-63
1521234705.175,E5:3B:3A:53:DF:6C,-53
1521234705.233,E5:3B:3A:53:DF:6C,-53
1521234705.452,D9:86:6F:AF:E8:90,-58
1521234705.452,D9:86:6F:AF:E8:90,-58
1521234705.458,F1:4E:55:EA:ED:A4,-56
1521234705.460,E9:0D:4A:6D:31:59,-57
1521234705.462,E9:0D:4A:6D:31:59,-57
1521234705.466,FD:99:D9:69:5D:BC,-58
1521234705.468,FD:99:D9:69:5D:BC,-58
1521234705.470,98:9E:63:42:70:FD,-102
1521234705.471,E8:FA:0D:3C:01:82,-57
1521234705.488,E8:FA:0D:3C:01:82,-57
1521234705.490,1D:35:DA:3F:51:F6,-58
1521234705.497,EC:8F:47:27:6C:DE,-58
1521234705.499,EC:8F:47:27:6C:DE,-58
1521234705.501,C8:2F:80:DA:26:94,-57
1521234705.503,C8:2F:80:DA:26:94,-57
