-----------------------------
1521232630.729,starting test
1521232630.730,EC:8F:47:27:6C:DE,-53
1521232630.744,EC:8F:47:27:6C:DE,-53
1521232630.958,CB:3C:59:5F:87:FB,-50
1521232630.960,CB:3C:59:5F:87:FB,-50
1521232630.960,62:38:F8:A7:CC:31,-81
1521232630.962,62:38:F8:A7:CC:31,-81
1521232630.962,E8:FA:0D:3C:01:82,-52
1521232630.965,E8:FA:0D:3C:01:82,-52
1521232630.967,DC:94:C8:A9:D0:B6,-53
1521232630.971,DC:94:C8:A9:D0:B6,-53
1521232630.980,26:94:08:39:24:90,-62
1521232631.010,61:B8:47:F5:59:8C,-99
1521232631.014,62:38:F8:A7:CC:31,-82
1521232631.016,62:38:F8:A7:CC:31,-81
1521232631.018,98:9E:63:42:70:FD,-98
1521232631.025,C2:57:36:E6:71:6E,-56
1521232631.029,C2:57:36:E6:71:6E,-56
1521232631.033,F1:4E:55:EA:ED:A4,-55
1521232631.034,F1:4E:55:EA:ED:A4,-55
1521232631.038,E9:0D:4A:6D:31:59,-53
1521232631.043,E9:0D:4A:6D:31:59,-53
1521232631.046,55:24:CF:EA:82:DD,-93
1521232631.048,62:38:F8:A7:CC:31,-82
1521232631.262,C1:96:24:5B:EB:97,-52
1521232631.266,C1:96:24:5B:EB:97,-52
1521232631.268,62:38:F8:A7:CC:31,-78
1521232631.270,62:38:F8:A7:CC:31,-78
1521232631.276,F1:4E:55:EA:ED:A4,-56
1521232631.281,F1:4E:55:EA:ED:A4,-56
1521232631.284,C8:2F:80:DA:26:94,-57
1521232631.286,C8:2F:80:DA:26:94,-57
1521232631.294,26:94:08:39:24:90,-57
1521232631.296,62:38:F8:A7:CC:31,-79
1521232631.315,62:38:F8:A7:CC:31,-79
1521232631.316,D9:86:6F:AF:E8:90,-54
1521232631.317,D9:86:6F:AF:E8:90,-54
1521232631.326,7F:4B:65:4E:9A:05,-101
1521232631.332,62:38:F8:A7:CC:31,-78
1521232631.338,62:38:F8:A7:CC:31,-78
1521232631.339,EC:8F:47:27:6C:DE,-53
1521232631.342,EC:8F:47:27:6C:DE,-53
1521232631.558,62:38:F8:A7:CC:31,-77
1521232631.565,62:38:F8:A7:CC:31,-76
1521232631.567,E8:FA:0D:3C:01:82,-50
1521232631.571,DC:94:C8:A9:D0:B6,-56
1521232631.591,DC:94:C8:A9:D0:B6,-56
1521232631.593,55:24:CF:EA:82:DD,-92
1521232631.597,55:24:CF:EA:82:DD,-93
1521232631.601,62:38:F8:A7:CC:31,-79
1521232631.605,62:38:F8:A7:CC:31,-77
1521232631.605,7F:4B:65:4E:9A:05,-98
1521232631.607,7F:4B:65:4E:9A:05,-98
1521232631.611,75:33:23:D6:E1:5E,-99
1521232631.613,3C:15:C2:C7:F7:27,-99
1521232631.615,26:94:08:39:24:90,-62
1521232631.623,62:38:F8:A7:CC:31,-79
1521232631.623,62:38:F8:A7:CC:31,-79
1521232631.626,5F:17:B5:B3:51:A4,-101
1521232631.634,F8:77:B8:B9:2D:74,-103
1521232631.644,E5:3B:3A:53:DF:6C,-51
1521232631.646,E5:3B:3A:53:DF:6C,-52
1521232631.648,C2:57:36:E6:71:6E,-56
1521232631.860,C2:57:36:E6:71:6E,-57
1521232631.861,C2:57:36:E6:71:6E,-57
1521232631.861,E9:0D:4A:6D:31:59,-53
1521232631.862,E9:0D:4A:6D:31:59,-53
1521232631.863,98:9E:63:42:70:FD,-98
1521232631.864,61:B8:47:F5:59:8C,-99
1521232631.874,61:B8:47:F5:59:8C,-98
1521232631.881,C1:96:24:5B:EB:97,-50
1521232631.882,C1:96:24:5B:EB:97,-50
1521232631.882,62:38:F8:A7:CC:31,-78
1521232631.884,62:38:F8:A7:CC:31,-78
1521232631.891,98:9E:63:42:70:FD,-98
1521232631.891,98:9E:63:42:70:FD,-100
1521232631.895,61:B8:47:F5:59:8C,-99
1521232631.896,F1:4E:55:EA:ED:A4,-55
1521232631.903,F1:4E:55:EA:ED:A4,-55
1521232631.904,C8:2F:80:DA:26:94,-52
1521232631.905,C8:2F:80:DA:26:94,-53
1521232631.908,62:38:F8:A7:CC:31,-78
1521232631.922,62:38:F8:A7:CC:31,-78
1521232631.929,61:B8:47:F5:59:8C,-98
1521232631.929,61:B8:47:F5:59:8C,-98
1521232631.932,98:9E:63:42:70:FD,-100
1521232631.934,26:94:08:39:24:90,-64
1521232631.935,D9:86:6F:AF:E8:90,-53
1521232631.940,D9:86:6F:AF:E8:90,-52
1521232631.943,62:38:F8:A7:CC:31,-79
1521232631.946,62:38:F8:A7:CC:31,-78
1521232632.159,FD:99:D9:69:5D:BC,-55
1521232632.161,FD:99:D9:69:5D:BC,-55
1521232632.162,EC:8F:47:27:6C:DE,-54
1521232632.164,EC:8F:47:27:6C:DE,-54
1521232632.166,62:38:F8:A7:CC:31,-79
1521232632.173,62:38:F8:A7:CC:31,-80
1521232632.174,E8:FA:0D:3C:01:82,-53
1521232632.176,E8:FA:0D:3C:01:82,-53
1521232632.184,CB:3C:59:5F:87:FB,-54
1521232632.189,CB:3C:59:5F:87:FB,-54
