-----------------------------
1520459748.710,starting test
1520459748.710,C2:57:36:E6:71:6E,-71
1520459748.712,C2:57:36:E6:71:6E,-71
1520459748.726,C8:2F:80:DA:26:94,-65
1520459748.783,C8:2F:80:DA:26:94,-65
1520459749.001,CB:3C:59:5F:87:FB,-64
1520459749.007,CB:3C:59:5F:87:FB,-64
1520459749.009,1F:9C:A1:B9:1A:73,-55
1520459749.034,E9:0D:4A:6D:31:59,-63
1520459749.039,E9:0D:4A:6D:31:59,-62
1520459749.042,D9:86:6F:AF:E8:90,-66
1520459749.043,D9:86:6F:AF:E8:90,-66
1520459749.045,C1:96:24:5B:EB:97,-58
1520459749.048,C1:96:24:5B:EB:97,-58
1520459749.067,FD:99:D9:69:5D:BC,-69
1520459749.078,FD:99:D9:69:5D:BC,-69
1520459749.319,E5:3B:3A:53:DF:6C,-58
1520459749.319,E5:3B:3A:53:DF:6C,-58
1520459749.319,F1:4E:55:EA:ED:A4,-60
1520459749.320,F1:4E:55:EA:ED:A4,-60
1520459749.320,C2:57:36:E6:71:6E,-65
1520459749.328,C2:57:36:E6:71:6E,-65
1520459749.329,1F:9C:A1:B9:1A:73,-58
1520459749.334,B8:09:8A:C7:31:B4,-103
1520459749.338,C8:2F:80:DA:26:94,-63
1520459749.340,C8:2F:80:DA:26:94,-63
1520459749.342,78:4F:43:78:44:5D,-103
1520459749.612,CB:3C:59:5F:87:FB,-67
1520459749.612,CB:3C:59:5F:87:FB,-67
1520459749.614,EC:8F:47:27:6C:DE,-68
1520459749.616,EC:8F:47:27:6C:DE,-68
1520459749.618,68:64:4B:39:4B:0F,-102
1520459749.636,1F:9C:A1:B9:1A:73,-70
1520459749.645,D9:86:6F:AF:E8:90,-68
1520459749.653,D9:86:6F:AF:E8:90,-68
1520459749.655,C1:96:24:5B:EB:97,-62
1520459749.659,C1:96:24:5B:EB:97,-62
1520459749.661,E9:0D:4A:6D:31:59,-64
1520459749.679,E9:0D:4A:6D:31:59,-64
1520459749.897,F8:77:B8:B9:2D:74,-93
1520459749.898,FD:99:D9:69:5D:BC,-70
1520459749.898,FD:99:D9:69:5D:BC,-69
1520459749.898,D9:86:6F:AF:E8:90,-65
1520459749.899,78:4F:43:78:44:5D,-101
1520459749.917,E5:3B:3A:53:DF:6C,-63
1520459749.925,E5:3B:3A:53:DF:6C,-63
1520459749.926,F1:4E:55:EA:ED:A4,-63
1520459749.927,F1:4E:55:EA:ED:A4,-63
1520459749.933,C2:57:36:E6:71:6E,-64
1520459749.947,C2:57:36:E6:71:6E,-64
1520459749.950,1F:9C:A1:B9:1A:73,-55
1520459749.953,C8:2F:80:DA:26:94,-63
1520459749.971,C8:2F:80:DA:26:94,-63
1520459749.975,DC:94:C8:A9:D0:B6,-61
1520459749.976,DC:94:C8:A9:D0:B6,-61
1520459749.978,68:64:4B:39:4B:0F,-97
1520459750.201,DC:94:C8:A9:D0:B6,-60
1520459750.219,DC:94:C8:A9:D0:B6,-60
1520459750.223,CB:3C:59:5F:87:FB,-62
1520459750.227,CB:3C:59:5F:87:FB,-62
1520459750.229,EC:8F:47:27:6C:DE,-65
1520459750.231,EC:8F:47:27:6C:DE,-65
1520459750.232,61:BD:B8:45:93:20,-102
1520459750.248,B8:09:8A:C7:31:B4,-102
1520459750.251,C1:96:24:5B:EB:97,-58
1520459750.269,C1:96:24:5B:EB:97,-58
1520459750.271,78:4F:43:78:44:5D,-103
1520459750.274,1F:9C:A1:B9:1A:73,-59
1520459750.276,E9:0D:4A:6D:31:59,-60
1520459750.280,E9:0D:4A:6D:31:59,-60
1520459750.521,FD:99:D9:69:5D:BC,-72
1520459750.528,F1:4E:55:EA:ED:A4,-67
1520459750.534,F1:4E:55:EA:ED:A4,-67
1520459750.535,E5:3B:3A:53:DF:6C,-68
1520459750.538,E5:3B:3A:53:DF:6C,-68
1520459750.563,C2:57:36:E6:71:6E,-70
1520459750.571,C2:57:36:E6:71:6E,-71
1520459750.573,C8:2F:80:DA:26:94,-65
1520459750.576,C8:2F:80:DA:26:94,-65
1520459750.796,1F:9C:A1:B9:1A:73,-53
1520459750.797,DC:94:C8:A9:D0:B6,-61
1520459750.831,DC:94:C8:A9:D0:B6,-61
1520459750.833,EC:8F:47:27:6C:DE,-70
1520459750.836,EC:8F:47:27:6C:DE,-70
1520459750.838,CB:3C:59:5F:87:FB,-63
1520459750.840,CB:3C:59:5F:87:FB,-63
1520459750.866,C1:96:24:5B:EB:97,-59
1520459750.877,C1:96:24:5B:EB:97,-58
1520459751.389,DC:94:C8:A9:D0:B6,-60
1520459751.405,DC:94:C8:A9:D0:B6,-60
1520459751.407,C8:2F:80:DA:26:94,-63
1520459751.407,C8:2F:80:DA:26:94,-63
1520459751.417,C2:57:36:E6:71:6E,-65
1520459751.421,C2:57:36:E6:71:6E,-65
1520459751.422,1F:9C:A1:B9:1A:73,-57
1520459751.441,EC:8F:47:27:6C:DE,-65
1520459751.456,EC:8F:47:27:6C:DE,-65
1520459751.458,CB:3C:59:5F:87:FB,-62
1520459751.460,CB:3C:59:5F:87:FB,-62
1520459751.701,C1:96:24:5B:EB:97,-62
1520459751.724,FD:99:D9:69:5D:BC,-72
1520459751.738,FD:99:D9:69:5D:BC,-72
1520459751.741,F8:77:B8:B9:2D:74,-98
1520459751.745,E9:0D:4A:6D:31:59,-64
1520459751.748,E9:0D:4A:6D:31:59,-64
1520459751.749,D9:86:6F:AF:E8:90,-68
1520459751.753,D9:86:6F:AF:E8:90,-68
1520459751.756,E5:3B:3A:53:DF:6C,-68
1520459751.780,E5:3B:3A:53:DF:6C,-68
1520459752.003,E8:FA:0D:3C:01:82,-59
1520459752.005,E8:FA:0D:3C:01:82,-59
1520459752.007,DC:94:C8:A9:D0:B6,-60
1520459752.011,DC:94:C8:A9:D0:B6,-60
1520459752.013,C8:2F:80:DA:26:94,-63
1520459752.025,C8:2F:80:DA:26:94,-63
1520459752.026,C2:57:36:E6:71:6E,-65
1520459752.028,C2:57:36:E6:71:6E,-65
1520459752.040,E5:3B:3A:53:DF:6C,-58
1520459752.052,E5:3B:3A:53:DF:6C,-58
1520459752.054,61:BD:B8:45:93:20,-103
1520459752.061,EC:8F:47:27:6C:DE,-65
1520459752.073,EC:8F:47:27:6C:DE,-65
1520459752.075,CB:3C:59:5F:87:FB,-61
1520459752.079,CB:3C:59:5F:87:FB,-62
1520459752.082,B8:09:8A:C7:31:B4,-103
1520459752.340,FD:99:D9:69:5D:BC,-72
1520459752.353,FD:99:D9:69:5D:BC,-72
1520459752.355,1F:9C:A1:B9:1A:73,-65
1520459752.357,E9:0D:4A:6D:31:59,-64
1520459752.363,E9:0D:4A:6D:31:59,-64
1520459752.364,D9:86:6F:AF:E8:90,-68
1520459752.367,D9:86:6F:AF:E8:90,-68
1520459752.372,68:64:4B:39:4B:0F,-99
1520459752.372,F8:77:B8:B9:2D:74,-97
1520459752.378,C1:96:24:5B:EB:97,-62
1520459752.392,C1:96:24:5B:EB:97,-62
1520459752.611,DC:94:C8:A9:D0:B6,-61
1520459752.628,C8:2F:80:DA:26:94,-63
1520459752.629,C8:2F:80:DA:26:94,-63
1520459752.629,FD:99:D9:69:5D:BC,-69
1520459752.630,FD:99:D9:69:5D:BC,-69
1520459752.637,78:4F:43:78:44:5D,-103
1520459752.640,C2:57:36:E6:71:6E,-64
1520459752.657,C2:57:36:E6:71:6E,-64
1520459752.659,E5:3B:3A:53:DF:6C,-63
1520459752.660,E5:3B:3A:53:DF:6C,-63
1520459752.662,F1:4E:55:EA:ED:A4,-63
1520459752.665,F1:4E:55:EA:ED:A4,-63
1520459752.668,1F:9C:A1:B9:1A:73,-53
1520459752.670,EC:8F:47:27:6C:DE,-70
1520459752.678,EC:8F:47:27:6C:DE,-70
1520459752.680,F8:77:B8:B9:2D:74,-94
1520459752.687,CB:3C:59:5F:87:FB,-63
1520459752.690,CB:3C:59:5F:87:FB,-64
1520459752.907,CB:3C:59:5F:87:FB,-62
1520459752.968,CB:3C:59:5F:87:FB,-62
1520459752.977,61:BD:B8:45:93:20,-103
1520459752.979,E9:0D:4A:6D:31:59,-60
1520459752.983,E9:0D:4A:6D:31:59,-60
1520459752.985,D9:86:6F:AF:E8:90,-64
1520459752.988,D9:86:6F:AF:E8:90,-64
1520459752.990,1F:9C:A1:B9:1A:73,-57
1520459752.994,C1:96:24:5B:EB:97,-58
1520459752.996,C1:96:24:5B:EB:97,-58
1520459753.521,1F:9C:A1:B9:1A:73,-66
1520459753.563,CB:3C:59:5F:87:FB,-68
1520459753.592,CB:3C:59:5F:87:FB,-68
1520459753.594,F8:77:B8:B9:2D:74,-98
1520459753.596,E9:0D:4A:6D:31:59,-64
1520459753.598,E9:0D:4A:6D:31:59,-64
1520459753.814,E9:0D:4A:6D:31:59,-62
1520459753.815,E9:0D:4A:6D:31:59,-62
1520459753.815,D9:86:6F:AF:E8:90,-66
1520459753.816,D9:86:6F:AF:E8:90,-66
1520459753.817,C1:96:24:5B:EB:97,-59
1520459753.818,C1:96:24:5B:EB:97,-58
1520459753.819,1F:9C:A1:B9:1A:73,-53
1520459753.830,68:64:4B:39:4B:0F,-96
1520459753.841,DC:94:C8:A9:D0:B6,-61
1520459753.852,DC:94:C8:A9:D0:B6,-61
1520459753.858,E8:FA:0D:3C:01:82,-63
1520459753.858,E8:FA:0D:3C:01:82,-63
1520459753.861,FD:99:D9:69:5D:BC,-69
1520459753.864,FD:99:D9:69:5D:BC,-70
