-----------------------------
1520460139.607,starting test
1520460139.607,F1:4E:55:EA:ED:A4,-55
1520460139.608,C8:2F:80:DA:26:94,-56
1520460139.608,C8:2F:80:DA:26:94,-56
1520460140.198,C2:57:36:E6:71:6E,-54
1520460140.199,C2:57:36:E6:71:6E,-54
1520460140.199,1F:9C:A1:B9:1A:73,-56
1520460140.199,F1:4E:55:EA:ED:A4,-55
1520460140.200,F1:4E:55:EA:ED:A4,-55
1520460140.202,E5:3B:3A:53:DF:6C,-55
1520460140.206,E5:3B:3A:53:DF:6C,-55
1520460140.209,C8:2F:80:DA:26:94,-56
1520460140.241,C8:2F:80:DA:26:94,-56
1520460140.243,DC:94:C8:A9:D0:B6,-58
1520460140.247,DC:94:C8:A9:D0:B6,-58
1520460140.480,F8:77:B8:B9:2D:74,-98
1520460140.483,EC:8F:47:27:6C:DE,-56
1520460140.495,EC:8F:47:27:6C:DE,-56
1520460140.498,CB:3C:59:5F:87:FB,-54
1520460140.502,CB:3C:59:5F:87:FB,-54
1520460140.504,1F:9C:A1:B9:1A:73,-70
1520460140.506,E9:0D:4A:6D:31:59,-55
1520460140.529,E9:0D:4A:6D:31:59,-55
1520460140.531,C1:96:24:5B:EB:97,-51
1520460140.532,C1:96:24:5B:EB:97,-51
1520460140.755,E8:FA:0D:3C:01:82,-55
1520460140.762,E8:FA:0D:3C:01:82,-55
1520460140.764,D9:86:6F:AF:E8:90,-56
1520460140.768,D9:86:6F:AF:E8:90,-56
1520460140.773,F8:77:B8:B9:2D:74,-93
1520460140.801,C2:57:36:E6:71:6E,-55
1520460140.806,C2:57:36:E6:71:6E,-55
1520460140.808,E5:3B:3A:53:DF:6C,-56
1520460140.812,E5:3B:3A:53:DF:6C,-56
1520460140.814,1F:9C:A1:B9:1A:73,-55
1520460140.825,C8:2F:80:DA:26:94,-56
1520460140.851,C8:2F:80:DA:26:94,-56
1520460141.062,DC:94:C8:A9:D0:B6,-58
1520460141.098,DC:94:C8:A9:D0:B6,-58
1520460141.102,EC:8F:47:27:6C:DE,-54
1520460141.107,EC:8F:47:27:6C:DE,-54
1520460141.118,CB:3C:59:5F:87:FB,-53
1520460141.130,CB:3C:59:5F:87:FB,-53
1520460141.132,1F:9C:A1:B9:1A:73,-57
1520460141.146,C1:96:24:5B:EB:97,-50
1520460141.159,C1:96:24:5B:EB:97,-50
1520460141.362,C1:96:24:5B:EB:97,-51
1520460141.380,C1:96:24:5B:EB:97,-51
1520460141.382,E8:FA:0D:3C:01:82,-55
1520460141.384,E8:FA:0D:3C:01:82,-55
1520460141.386,D9:86:6F:AF:E8:90,-58
1520460141.389,D9:86:6F:AF:E8:90,-58
1520460141.391,F8:77:B8:B9:2D:74,-97
1520460141.396,FD:99:D9:69:5D:BC,-55
1520460141.402,FD:99:D9:69:5D:BC,-55
1520460141.404,E9:0D:4A:6D:31:59,-55
1520460141.406,E9:0D:4A:6D:31:59,-55
1520460141.416,68:64:4B:39:4B:0F,-100
1520460141.422,F1:4E:55:EA:ED:A4,-55
1520460141.427,F1:4E:55:EA:ED:A4,-55
1520460141.428,C2:57:36:E6:71:6E,-58
1520460141.430,C2:57:36:E6:71:6E,-58
1520460141.432,E5:3B:3A:53:DF:6C,-58
1520460141.446,E5:3B:3A:53:DF:6C,-58
1520460141.450,1F:9C:A1:B9:1A:73,-68
1520460141.650,1F:9C:A1:B9:1A:73,-55
1520460141.660,C8:2F:80:DA:26:94,-56
1520460141.678,C8:2F:80:DA:26:94,-56
1520460141.679,DC:94:C8:A9:D0:B6,-56
1520460141.681,DC:94:C8:A9:D0:B6,-56
1520460141.687,C2:57:36:E6:71:6E,-55
1520460141.717,C2:57:36:E6:71:6E,-55
1520460141.719,EC:8F:47:27:6C:DE,-56
1520460141.721,EC:8F:47:27:6C:DE,-56
1520460141.725,61:BD:B8:45:93:20,-101
1520460141.731,CB:3C:59:5F:87:FB,-55
1520460141.750,CB:3C:59:5F:87:FB,-55
1520460141.983,1F:9C:A1:B9:1A:73,-57
1520460141.983,C1:96:24:5B:EB:97,-50
1520460141.996,C1:96:24:5B:EB:97,-50
1520460141.998,D9:86:6F:AF:E8:90,-53
1520460142.001,D9:86:6F:AF:E8:90,-53
1520460142.007,E8:FA:0D:3C:01:82,-55
1520460142.009,E8:FA:0D:3C:01:82,-55
1520460142.014,FD:99:D9:69:5D:BC,-53
1520460142.014,FD:99:D9:69:5D:BC,-53
1520460142.019,E9:0D:4A:6D:31:59,-54
